permit_number,facility,address,city,state,zipcode,latitude,longitude
1-13275,19 North - Restaurant,5750 Windward PKWY,Alpharetta,GA,30005,34.0900498,-84.2586632
1-13289,Alacarte,8610 Roswell RD,Atlanta,GA,30350,33.9909398,-84.3533012
1-13368,El Gallo,387 Cleveland AVE,Atlanta,GA,30315,33.6815997,-84.4022052
1-13392,Canton Cook's Restaurant,5984 Roswell RD,Atlanta,GA,30328,33.9185481,-84.3819095
1-1343*,Grecian Gyros,855 Virginia AVE,Hapeville,GA,30354,33.6590749,-84.4169588
1-13436,Fellinis Pizza,909 Ponce De Leon,Atlanta,GA,30307,33.7735215,-84.3576759
1-13444,Foxtrot,45 13th ST,Atlanta,GA,30309,33.7855108,-84.3859700
1-13444,Cosmopolitan Restaurant And Bar,45 13th ST,Atlanta,GA,30309,33.7855108,-84.3859700
1-13467,Ruth's Chris Steak House Main Kitchen,267 Marietta ST,Atlanta,GA,30313,33.7605431,-84.3950598
1-13471,Ruth's Chris Steak House Bar,267 Marietta ST,Atlanta,GA,30313,33.7605431,-84.3950598
1-13500,Starbucks Coffee Company #8320,21 14th ST,Atlanta,GA,30309,33.7863043,-84.3871606
1-13512,Persepolis Cuisine,6435 Roswell RD,Atlanta,GA,30328,33.9307490,-84.3790961
1-13565,Village Tavern,11555 Rainwater DR,Alpharetta,GA,30004,34.0621240,-84.2874159
1-136*,Antioch Baptist Church North,540 Cameron M Alexander N,Atlanta,GA,30318,33.7674426,-84.4054534
1-13656,Taqueria Del Sol,1200-B Howell Mill RD,Atlanta,GA,30318,33.7874253,-84.4128987
1-13720,El Porton,11190 Alpharetta HWY,Alpharetta,GA,30076,34.0529021,-84.3337036
1-1373*,H.J.C. Bowden Senior Multipurpose Facility,2885 Church ST,Eastpoint,GA,30344,33.6769036,-84.4449246
(1-1381),Hammer's Restaurant & Bar,898 Virginia AVE,Hapeville,GA,30354,33.6585729,-84.4188669
1-13824,Kenley's Catering & Sandwich Shop,75 Piedmont AVE NE STE 152,Atlanta,GA,30303,33.7567065,-84.3818960
1-13837*,Canton Chopsticks,1923 Howell Mill RD,Atlanta,GA,30318,33.8072753,-84.4122807
1-13842,Sunny Garden,3879 Washington RD,Eastpoint,GA,30344,33.6498977,-84.4907950
1-13931*,Taste Of Tropical,530-K Joseph E Lowery BLVD,Atlanta,GA,30314,33.7692410,-84.4176564
1-13943,Holiday Inn Express,2950 Mansell,Alpharetta,GA,30022,34.0381715,-84.2974082
(1-14),The Gold Club,2284 Cheshire Bridge STE C,Atlanta,GA,30324,33.8174879,-84.3525552
1-14017,Harriett G. Darnell Senior Multipurpose Facility - FSP,677 Fairburn RD NW,Atlanta,GA,30331,33.7736642,-84.4988464
1-14074,Thumbs Up Diner,573 Edgewood AVE,Atlanta,GA,30312,33.7541338,-84.3685188
1-14091,Lin's Chinese Cuisine,12850 Highway 9 STE 1600,Alpharetta,GA,30004,34.0962464,-84.2781623
1-14092,Taco Mac,685 Crossville,Roswell,GA,30075,34.0594529,-84.3820080
1-1411*,Harry & Sons,820 North Highland AVE,Atlanta,GA,30306,33.7769371,-84.3526953
1-1411*,Ocean Wave,820 North Highland AVE,Atlanta,GA,30306,33.7769371,-84.3526953
1-1432*,Aria,490 East Paces Ferry,Atlanta,GA,30305,33.8387692,-84.3719068
1-14369,Starbucks Coffee,9700 Medlock Bridge,Duluth,GA,30097,34.0175527,-84.1923682
1-14403,Smoothie King,6309 Roswell RD STE IG,Atlanta,GA,30328,33.9271805,-84.3788259
1-14407,Dorothy C. Benson Senior Multipurpose Complex,6500 Vernon Woods DR,Atlanta,GA,30328,33.9293353,-84.3779841
1-14430*,Mt. Olive Seventh Day Adventist Church,3366 Mount Olive RD,Eastpoint,GA,30344,33.6641501,-84.4771863
1-14432,Star Pizza,1000 Marietta HWY STE 600,Roswell,GA,30075,34.0052845,-84.3908759
1-14442,American Deli,840 Oak ST,Atlanta,GA,30310,33.7392437,-84.4156804
1-1446,Highland Tap,1026 North Highland AVE NE,Atlanta,GA,30306,33.7826396,-84.3546023
1-14464,Eclipse De Luna,764 Miami CIR STE 138,Atlanta,GA,30324,33.8315906,-84.3622556
1-1447*,Highpoint Elementary School,520 Greenland,Atlanta,GA,30342,33.8990503,-84.3701409
1-14509,Goldbergs Bagels And Deli,1272 West Paces Ferry RD,Atlanta,GA,30327,33.8479723,-84.4288087
1-14545,StarbucksCoffee #8318,11770 Haynes Bridge,Alpharetta,GA,30004,34.0693559,-84.2946945
1-14593,Dagwood'sPizza - Deli,7746 Spalding DR,Norcross,GA,30092,33.9687457,-84.2601958
1-14598,Pasta Vino,11130 State Bridge RD STE F103,Alpharetta,GA,30022,34.0554428,-84.2287852
1-14644*,Covenant Community,623 Spring ST NW,Atlanta,GA,30308,33.7717138,-84.3886796
1-14694,Chick-Fil-A,1185 Woodstock RD,Roswell,GA,30075,34.0621543,-84.3994142
1-1475*,Hong Kong Harbor,2184 Cheshire Bridge RD,Atlanta,GA,30324,33.8145294,-84.3537736
1-1481*,Horseradish Grill,4320 Powers Ferry RD,Atlanta,GA,30342,33.8728089,-84.3964382
1-14856,Cabernet,5575 Windward PKWY,Alpharetta,GA,30004,34.0868959,-84.2644643
1-14869,Taco Bell,2951 Legion WAY,Eastpoint,GA,30344,33.6745634,-84.4427225
1-14931,Waffle House #1271,2940 Mansell,Alpharetta,GA,30022,34.0379115,-84.2978811
1-14949,Starbucks Coffee,3330 Piedmont RD,Atlanta,GA,30305,33.8456113,-84.3729013
1-1502*,Houston's,2166 Peachtree N,Atlanta,GA,30309,33.8134474,-84.3928298
1-1516*,Huntcliff Summit,8592 Roswell RD,Atlanta,GA,30350,33.9878570,-84.3522760
(1-1517),Hunter Hill 1st Baptist Church,166 Edwards ST,Atlanta,GA,30314,33.7597613,-84.4351319
1-153*,Arby's #1838,4615 Jonesboro RD,Union City,GA,30291,33.5688413,-84.5387030
1-15316,Starbucks,1544 Piedmont AVE STE 232,Atlanta,GA,30324,33.7984196,-84.3709623
1-15322,Benihana,2143 Peachtree RD,Atlanta,GA,30309,33.8127928,-84.3915328
1-15345,Dunkin' Donut,98 Forsyth ST,Atlanta,GA,30303,33.7574321,-84.3889054
1-15466,Embassy Suites Hotel Kitchen,3285 Peachtree RD NE,Atlanta,GA,30305,33.8447196,-84.3691964
1-15522*,Mr. C's,1983 Howell Mill RD,Atlanta,GA,30018,33.8086649,-84.4125893
1-1553*,International House Of Pancakes,6120 Roswell RD,Atlanta,GA,30328,33.9221762,-84.3795650
1-1554*,International House Of Pancake,6902 Londonderry WAY,Union City,GA,30291,33.5693721,-84.5378841
1-15540*,Starbucks Coffee,3660 Cascade RD,Atlanta,GA,30331,33.7227866,-84.5071026
1-15563,Ansley Golf Club @ Settindown Creek,5500 Settindown DR,Roswell,GA,30075,34.1052802,-84.4172255
1-15567,Central Training Center,425 Langhorn ST,Atlanta,GA,30310,33.7436761,-84.4330624
1-1557*,Ippolito's,6623 Roswell RD,Atlanta,GA,30328,33.9354072,-84.3772385
1-15573,Dogwood Forest Of Dunwoody,7400 Peachtree Dunwoody RD,Atlanta,GA,30328,33.9567620,-84.3546613
1-15574,Blessed Trinity High School,11320 Woodstock RD,Roswell,GA,30075,34.0552150,-84.3908349
1-15636,El Azteca Mexican Restaurant #6,5925 Roswell RD,Atlanta,GA,30328,33.9169367,-84.3775325
1-1579*,J. Christopher's,227 Sandy Springs Place STE A,Atlanta,GA,30328,33.9203086,-84.3814423
1-15851*,China Cafeteria,3613 Martin Luther King Jr. DR SW,Atlanta,GA,30331,33.7603586,-84.5058940
(1-1596),J.W. Marriott Lenox Hotel Main,3300 Lenox RD,Atlanta,GA,30326,33.8457209,-84.3596335
1-15960,Fritti,311 North Highland AVE,Atlanta,GA,30307,33.7629898,-84.3577263
1-15963,Roxx,1824 Cheshire Bridge RD,Atlanta,GA,30324,33.8093135,-84.3630458
1-16030,Dunwoody Springs Elementary School,8100 Roberts DR,Atlanta,GA,30350,33.9767699,-84.3429243
1-1607*,Jalisco Mexican Restaurant,2337 Peachtree RD,Atlanta,GA,30305,33.8188087,-84.3876950
1-16117,Patrick's Sub Shop,1200 Collier RD NW,Atlanta,GA,30318,33.8112458,-84.4270113
1-16149,McDonald's,443 Moreland AVE,Atlanta,GA,30316,33.7418260,-84.3495835
1-1615*,Java Jive,790 Ponce De Leon AVE,Atlanta,GA,30306,33.7740211,-84.3614752
1-16267*,China Heaven,2880 Holcomb Bridge RD STE 128,Alpharetta,GA,30022,33.9907089,-84.2749540
1-163*,Arlington Christain School,4500 Ridge RD,Fairburn,GA,30213,33.6349518,-84.6527350
1-1653*,Johnny's New York Style Pizza & Subs,834 Virginia AVE,Hapeville,GA,30354,33.6588201,-84.4161381
1-16542,Han's II Take Out Only,2740 Greenbriar PKWY,Atlanta,GA,30331,33.6886571,-84.4886219
1-16616,Ria's Bluebird,421 Memorial DR,Atlanta,GA,30312,33.7465353,-84.3736520
1-16699,Starbucks Coffee #8340,506 Moreland AVE NE,Atlanta,GA,30307,33.7681245,-84.3495219
1-1688,Kentucky Fried Chicken #143,676 Holcomb Bridge RD,Roswell,GA,30075,34.0337924,-84.3411613
1-16905,Piedmont Driving Club,4405 Camp Creek PKWY,Atlanta,GA,30331,33.6631175,-84.5364413
1-16909,Portofino,3199 Paces Ferry PLZ,Atlanta,GA,30305,33.8419039,-84.3815186
1-16910,Agave' Restaurant,242 Boulevard SE,Atlanta,GA,30312,33.7479639,-84.3679471
1-16983,Oz Pizza / Coffee House,2805 Main ST,Eastpoint,GA,30344,33.6788045,-84.4405352
1-17039,Brooklyn Bagel Bakery Company,9925 Haynes Bridge STE 740,Alpharetta,GA,30022,34.0231649,-84.2675497
1-17044,Mount Vernon Village,475 Mount Vernon HWY,Atlanta,GA,30328,33.9134685,-84.4027992
1-17061*,Grouchy's,11525 Haynes Bridge,Alpharetta,GA,30004,34.0620498,-84.2895544
1-17116*,Baraonda,710 Peachtree ST STE 200,Atlanta,GA,30308,33.7741115,-84.3849577
1-17149,Arby's #5377,8753 Roswell RD,Atlanta,GA,30350,33.9957326,-84.3504051
1-17242,Summer Set,3711 Benjamin E. Mays DR,Atlanta,GA,30331,33.7410231,-84.5090282
1-173*,Athens Greek Restaurant,10753 Alpharetta HWY,Roswell,GA,30075,34.0412888,-84.3409970
1-1736*,Krystal #02,1055 Holcomb Bridge RD,Roswell,GA,30076,34.0235084,-84.3302518
1-1737*,Krystal #08,2509 North Main ST,Eastpoint,GA,30344,33.6867961,-84.4397547
1-1738*,Krystal #12,3037 Piedmont RD,Atlanta,GA,30305,33.8379637,-84.3680670
1-1740*,Krystal #26,5235 Old National HWY,College Park,GA,30349,33.6129992,-84.4727795
1-17404,Chick-Fil-A,4285 Roswell RD,Atlanta,GA,30342,33.8724810,-84.3808009
1-17405,Elmyr,1091 Euclid AVE,Atlanta,GA,30307,33.7635279,-84.3512683
1-1742*,Krystal #42,626 Fourteenth ST NW,Atlanta,GA,30318,33.7858938,-84.4078486
1-1743*,Krystal #43,349 Cleveland AVE S,Atlanta,GA,30315,33.6815630,-84.4009123
1-1744*,Krystal #46,4644 Jonesboro RD,Union City,GA,30291,33.5685025,-84.5401669
1-17457,Jason's Deli,3070 Windward PLZ STE T,Alpharetta,GA,30005,34.0933103,-84.2412232
1-17493*,Fogo De Chao Churrascaria,3101 Piedmont RD,Atlanta,GA,30305,33.8406126,-84.3693724
1-1758*,La Fiesta,4790 Jonesboro RD,Union City,GA,30291,33.5697229,-84.5453568
1-1759*,La Fiesta Mexican Restaurant,1419 Virginia AVE,College Park,GA,30344,33.6598834,-84.4354007
*1-176,Atlanta Athletic Club (Halfway House),1930 Bobby Jones DR,Johns Creek,GA,30097,34.0039986,-84.1918079
1-1762*,La Fonda Latina,4427 Roswell RD,Atlanta,GA,30342,33.8758484,-84.3804403
1-17639,Wing Depot - Take Out Only,3389 Roosevelt HWY,College Park,GA,30349,33.6225585,-84.4999923
1-17676,Park Tavern Brewery And Restaurant,500 Tenth ST NE,Atlanta,GA,30309,33.7822276,-84.3692580
1-17698,Quality Living Services,4001 Danforth RD,Atlanta,GA,30310,33.7266510,-84.5196383
*1-177,Atlanta Athletic Club (Kitchen),1930 Bobby Jones DR,Johns Creek,GA,30097,34.0039986,-84.1918079
1-1777*,Lagrotta Ristorante Ital,2637 Peachtree RD NE,Atlanta,GA,30305,33.8395461,-84.3796672
1-17781,Apache Cafe,64 3rd ST,Atlanta,GA,30308,33.7736989,-84.3895122
1-178*,Atlanta Athletic Club (Main Bar),1930 Bobby Jones DR,Johns Creek,GA,30097,34.0039986,-84.1918079
1-17803,Babette's Cafe (Restaurant),573 North Highland AVE,Atlanta,GA,30307,33.7700112,-84.3522537
*1-179,Atlanta Athletic Club (Mens Locker Rm),1930 Bobby Jones DR,Johns Creek,GA,30097,34.0039986,-84.1918079
1-17909,El Torero #8,625 Crossville RD,Roswell,GA,30075,34.0595024,-84.3802425
1-17925,Jason's Deli,3330 Piedmont RD NE STE 19,Atlanta,GA,30305,33.8456113,-84.3729013
1-17978,Carroll Street Cafe,208 Carroll ST SE,Atlanta,GA,30312,33.7489733,-84.3679438
(1-18),Anis Cafe And Bistro,2974 Grandview AVE,Atlanta,GA,30305,33.8357466,-84.3766496
1-18039,Farmer's Basket,3393 Peachtree RD STE 1012,Atlanta,GA,30326,33.8465156,-84.3626785
1-18050,The Capital Grille,255 East Paces Ferry RD,Atlanta,GA,30305,33.8388378,-84.3789933
1-18094,Thai Thai Take Out And Delivery,11525 Haynes Bridge RD,Alpharetta,GA,30004,34.0620498,-84.2895544
1-18211,Peachtree Club,999 Peachtree ST NE STE 2800,Atlanta,GA,30309,33.7811208,-84.3836503
1-18215*,"Elbow Room, Inc.",248 Pharr RD,Atlanta,GA,30305,33.8372763,-84.3792160
1-18221,Atlanta Wings,3 Joseph E Lowery BLVD,Atlanta,GA,30314,33.7544594,-84.4179392
1-18266,GNC Smoothie Shop,3695 Cascade RD STE - H,Atlanta,GA,30331,33.7249760,-84.5083727
1-183*,Atlanta Area Tech Demo Kit,1560 Metropolitan PKWY,Atlanta,GA,30315,33.7117700,-84.4077930
1-1832*,Longhorn Steakhouse,10845 Medlock Bridge,Duluth,GA,30097,34.0462396,-84.1779252
1-184*,Atlanta Area Tech School,1560 Metropolitan PKWY,Atlanta,GA,30315,33.7117700,-84.4077930
1-1840,Love Hall Westminster,1424 West Paces Ferry RD,Atlanta,GA,30327,33.8476086,-84.4334235
1-1841*,Love T Nolan Elementary School,2725 Creel RD,College Park,GA,30349,33.5720742,-84.4812443
1-1842*,Lovett School,4075 Paces Ferry RD NW,Atlanta,GA,30327,33.8585729,-84.4534491
1-18540,Regal Cinemas Concession,9700 Medlock Bridge,Duluth,GA,30097,34.0175527,-84.1923682
1-18543,Waffle House #1300,2850 Holcomb Bridge RD,Alpharetta,GA,30022,33.9911710,-84.2784460
1-18553,Springhill Suites,12730 Deerfield PKWY,Alpharetta,GA,30004,34.0920920,-84.2717867
1-18556,Domino's Pizza #4193,13695 Highway 9,Alpharetta,GA,30004,34.1142949,-84.2683313
1-18564*,Residence Inn,1325 North Point DR,Alpharetta,GA,30022,34.0513304,-84.2912404
1-18568,North River Tavern,8879 Roswell RD,Atlanta,GA,30350,34.0011589,-84.3499738
1-18583,Hampton Inn And Suites,3450 Bobby Brown PKWY,Atlanta,GA,30344,33.6613833,-84.4290421
1-18610,Waffle House #412,2264 Cheshire Bridge RD,Atlanta,GA,30324,33.8169534,-84.3525823
1-18713,Woodward Academy,3400 Madison AVE,College Park,GA,30337,33.6625610,-84.4389053
1-18778,Cascade Family Skating,3335 Martin Luther King Jr. DR,Atlanta,GA,30331,33.7556289,-84.4969000
1-18785,Starbucks Coffee #8492,4285 Roswell RD UNIT 6,Atlanta,GA,30342,33.8724810,-84.3808009
1-18789,Starbucks Coffee,210 Peachtree ST,Atlanta,GA,30303,33.7596519,-84.3889470
1-18811,Mazzy's Sports Bar And Grill,10729 Alpharetta HWY,Roswell,GA,30076,34.0402984,-84.3405170
1-18848,Wendy's,13794 Highway 9,Alpharetta,GA,30004,34.1165686,-84.2701619
1-18858,Holiday Inn Express Hotel And Suites,765 Hammond DR,Atlanta,GA,30328,33.9184230,-84.3596680
1-18873*,Burger King,12 Broad ST STE A,Atlanta,GA,30303,33.7547072,-84.3914030
1-18908*,Rice Thai Cuisine,1104 Canton ST,Roswell,GA,30075,34.0286879,-84.3618038
1-18914*,5 Season's Brewing,5600 Roswell STE 21,Atlanta,GA,30342,33.9080931,-84.3807762
1-18929,Papa John's Pizza #189,206 Johnson Ferry UNIT C,Atlanta,GA,30328,33.9262484,-84.3817206
1-18975,Royal Oak Pub,1155 Mount Vernon HWY,Dunwoody,GA,30338,33.9335411,-84.3488197
1-18994*,J.B. Fuqua Boys & Girls Club,405 Lovejoy ST,Atlanta,GA,30313,33.7656126,-84.3927878
1-19035,Children's Health Care Of Atlanta,1001 Johnson Ferry RD,Atlanta,GA,30342,33.9060610,-84.3542984
1-19050,The Harp Irish Pub,1425 Market BLVD STE 1330,Roswell,GA,30076,34.0183965,-84.3204092
1-19052,El Azteca,13800 Highway 9 N STE W,Alpharetta,GA,30004,34.1167638,-84.2712597
1-19060,Sodexo At ADP,5800 Windward PKWY,Alpharetta,GA,30005,34.0905896,-84.2553716
1-19078,Chuck E Cheese,925 North Point DR,Alpharetta,GA,30022,34.0516719,-84.2817817
1-19087,K Y MA,3085 Piedmont RD,Atlanta,GA,30305,33.8398553,-84.3690321
(1-1910)*,Bentley's,4711 Best RD,College Park,GA,30337,33.6261841,-84.4608054
1-19111,Clermont Lounge,789 Ponce De Leon,Atlanta,GA,30306,33.7734009,-84.3612288
1-19179,Q's Restaurant,1599 Whiteway,Eastpoint,GA,30344,33.6788068,-84.4412049
1-19200,Restore Rehabilitation,11180 Crabapple,Roswell,GA,30075,34.0527140,-84.3617217
1-19203,McDonald's,5210 Windward PKWY,Alpharetta,GA,30004,34.0920021,-84.2759525
1-19217,Star Pizza And Deli,11490 Alpharetta HWY STE 700,Roswell,GA,30076,34.0604236,-84.3256490
(1-1923),Marriott Main Kitchen,265 Peachtree Center AVE,Atlanta,GA,30303,33.7615950,-84.3855796
(1-1928),Marriott Suites Hotel,35 Fourteenth ST NE,Atlanta,GA,30309,33.7862064,-84.3864421
(1-1930),Marriott-Employees Cafe,265 Peachtree Center AVE,Atlanta,GA,30303,33.7615950,-84.3855796
(1-1932),Marriott-Room Serv Kit,265 Peachtree Center AVE,Atlanta,GA,30303,33.7615950,-84.3855796
1-19333,Brake Pad,3403 Main ST,College Park,GA,30037,33.6628499,-84.4466599
1-19360,Einstein Noah Corp.,4502 Roswell RD,Atlanta,GA,30342,33.8783582,-84.3797995
(1-1937),Mary M Bethune Elementary School,5925 Old Carriage DR,College Park,GA,30349,33.5931128,-84.4818181
1-19371*,Reuben's Deli,57 Broad ST,Atlanta,GA,30303,33.7554809,-84.3892687
1-19372,Il Localino,467 North Highland AVE NE,Atlanta,GA,30307,33.7666875,-84.3528630
(1-1938),Mary Mac's,224 Ponce De Leon AVE,Atlanta,GA,30308,33.7728589,-84.3798780
1-19384,Palmetto Neighborhood Senior Center,510 Turner AVE,Palmetto,GA,30268,33.5248402,-84.6687162
1-19428,Big Daddy's Cafe,2284 Cascade RD,Atlanta,GA,30311,33.7219482,-84.4635521
(1-1944),Max Lager's American Grill & Bar,320 Peachtree ST,Atlanta,GA,30308,33.7633543,-84.3870990
1-19466,Panita Thai Kitchen,1043 Greenwood AVE,Atlanta,GA,30306,33.7765304,-84.3530753
*1-19467,Pampas,10970-A State Bridge RD,Alpharetta,GA,30022,34.0482856,-84.2245111
(1-1947),McClarin High School,3605 Main ST,College Park,GA,30337,33.6567450,-84.4499470
(1-1948),McDonald's #11864,912 Martin Luther King Jr DR,Atlanta,GA,30331,33.7542657,-84.4172126
*1-195,Atlanta Athletic Club Grill Kitchen,1930 Bobby Jones DR,Johns Creek,GA,30097,34.0039986,-84.1918079
*1-195,Atlanta Athletic Club Grill Ki,1930 Bobby Jones DR,Johns Creek,GA,30097,34.0039986,-84.1918079
(1-1952),McDonald's,1465 Holcomb Bridge RD,Roswell,GA,30076,34.0197752,-84.3184360
(1-1953),McDonald's,1994 Howell Mill RD,Atlanta,GA,30318,33.8092296,-84.4131836
1-19535*,Smith's Olde Bar,1578 Piedmont AVE,Atlanta,GA,30324,33.7976384,-84.3688347
1-19564,TCBY Treats,4920 Roswell RD,Atlanta,GA,30342,33.8885729,-84.3823775
1-19566,Sushi Nami,5316-B Windward PKWY,Alpharetta,GA,30004,34.0887071,-84.2717045
(1-1957),McDonald's #10131,2950 Holcomb Bridge RD,Roswell,GA,30022,33.9896822,-84.2743370
1-19581,The Everything Cafe,870 Martin Luther King Jr. DR,Atlanta,GA,30314,33.7545531,-84.4159896
(1-1959),McDonald's #11010,1203 Virginia AVE,Eastpoint,GA,30344,33.6593649,-84.4287139
1-19599,Slopes BBQ Of Sandy Springs,200 Johnson Ferry RD,Atlanta,GA,30328,33.9264220,-84.3821400
1-19625,Starbucks Coffee,6681-K Roswell RD,Atlanta,GA,30328,33.9365764,-84.3778164
(1-1966),McDonald's #13864,2091 Metropolitan PKWY,Atlanta,GA,30315,33.6981475,-84.4085052
1-19665,Willy's Mexicana Grill,1071 Piedmont AVE,Atlanta,GA,30309,33.7838926,-84.3786001
